id,dyad,modality,condition,hz,n_samples,wcc_json
2766_0912__radial__exp2,2766_0912,radial,exp2,2.0,22,"[null, null, null, null, null, null, null, null, 0.126609, 0.126609, null, null, null, null, null, null, null, -0.162561, -0.162278, null, null, null]"
2766_0912__angular__exp3,2766_0912,angular,exp3,2.0,22,"[-0.216651, -0.179918, 0.307197, 0.361599, -0.050091, -0.58357, -0.481142, -0.013427, 0.134044, -0.150618, 0.029097, 0.291782, -0.098462, -0.311283, 0.018427, 0.158892, -0.37082, -0.3526, 0.291658, 0.267232, -0.163842, 0.215823]"
2766_0912__radial__exp3,2766_0912,radial,exp3,2.0,22,"[0.645045, 0.531136, 0.453775, 0.358202, 0.359744, 0.210489, 0.287701, 0.748772, 0.493847, -0.46636, -0.37874, 0.563565, 0.240843, -0.002726, 0.415908, 0.432475, 0.55047, 0.28338, 0.460623, 0.600396, -0.159812, -0.505942]"
2766_0912__angular__exp4,2766_0912,angular,exp4,2.0,22,"[-0.739847, -0.506315, 0.061796, 0.420065, -0.222176, -0.335596, -0.189555, 0.29799, 0.351952, -0.090445, -0.319665, -0.142784, -0.209248, -0.282055, 0.247549, 0.512429, -0.298844, -0.305748, -0.425019, -0.63814, -0.20643, 0.763498]"
2766_0912__radial__exp4,2766_0912,radial,exp4,2.0,22,"[null, null, null, null, null, null, null, null, 0.313742, 0.313742, null, null, null, null, null, null, null, 0.029631, 0.029631, null, null, null]"
3050_3605__angular__exp1,3050_3605,angular,exp1,2.0,23,"[-0.274396, -0.240589, -0.366864, -0.268904, -0.525446, -0.152585, 0.03383, -0.668911, -0.740772, -0.61453, -0.497634, -0.333024, -0.545339, -0.678078, -0.676012, -0.651867, -0.704372, -0.680202, -0.31479, 0.267559, -0.537073, -0.498355, 0.280951]"
3050_3605__radial__exp1,3050_3605,radial,exp1,2.0,23,"[null, -0.0, 0.0, 0.829913, 0.547018, 0.598869, 0.995436, null, 0.0, 0.0, -0.0, null, null, null, -0.0, -0.0, null, null, null, null, -0.0, -0.238964, 0.165448]"
3050_3605__angular__exp2,3050_3605,angular,exp2,2.0,22,"[-0.245322, -0.804222, -0.750728, -0.350655, -0.593023, -0.9494, -0.958176, -0.931927, -0.59201, 0.174462, -0.418423, -0.928287, -0.884414, -0.723835, -0.780674, -0.919437, -0.927042, -0.753945, -0.685665, -0.525479, -0.440325, -0.801495]"
3050_3605__angular__exp3,3050_3605,angular,exp3,2.0,22,"[-0.587696, -0.129308, 0.42129, 0.450615, 0.132724, -0.103373, 0.078379, 0.123009, -0.032662, -0.138343, 0.011547, 0.278771, -0.344081, -0.357224, -0.03215, -0.17988, 0.265303, 0.486624, 0.06673, -0.188412, -0.192253, -0.453427]"
3050_3605__radial__exp3,3050_3605,radial,exp3,2.0,22,"[null, -0.377829, -0.359493, null, 0.028431, -0.432207, 0.13053, 0.302982, -0.134902, 0.36845, 0.0, 0.273176, 0.394545, -0.224529, -0.344945, -0.347781, -0.36869, 0.038141, -0.08167, -0.179611, -0.201346, 0.30094]"
3050_3605__angular__exp4,3050_3605,angular,exp4,2.0,22,"[-0.151114, -0.450831, -0.972088, -0.765683, -0.334301, -0.226601, -0.727416, -0.710064, -0.230417, -0.524165, -0.818915, -0.869346, -0.595008, -0.604087, -0.802338, -0.87062, -0.852206, -0.592884, -0.20821, -0.23444, 0.138164, -0.273698]"
3050_3605__radial__exp4,3050_3605,radial,exp4,2.0,22,"[null, null, null, null, null, null, null, null, 0.184602, 0.184602, null, null, null, null, null, null, null, 0.375256, 0.375256, null, null, null]"
3071_2257__angular__exp1,3071_2257,angular,exp1,2.0,22,"[-0.626762, -0.717034, -0.490443, -0.007892, 0.088094, 0.217426, 0.198311, -0.31617, -0.150448, -0.250923, -0.377232, -0.00513, 0.248563, -0.470128, -0.610945, -0.278726, 0.063104, -0.5083, -0.614481, 0.151995, 0.124595, 0.195241]"
3071_2257__radial__exp1,3071_2257,radial,exp1,2.0,22,"[0.870721, 0.296542, 0.008206, 0.174396, 0.041005, -0.292412, -0.182581, -0.187973, 0.063644, 0.325318, 0.447835, -0.151663, 0.178093, 0.307446, 0.132713, 0.200806, 0.367239, -0.184408, 0.317903, 0.173809, 0.261801, -0.069182]"
3071_2257__angular__exp2,3071_2257,angular,exp2,2.0,22,"[-0.232589, -0.231031, -0.048962, 0.149242, -0.205373, -0.675813, -0.683832, -0.232152, -0.149049, -0.621183, -0.093662, 0.273402, -0.362481, -0.094317, 0.075902, -0.606275, -0.457118, -0.145328, -0.331509, -0.409458, -0.214923, 0.023109]"
3071_2257__radial__exp2,3071_2257,radial,exp2,2.0,22,"[null, null, null, null, null, null, null, null, -0.0, -0.0, null, null, null, null, null, null, null, 0.546129, 0.546129, null, null, null]"
3071_2257__angular__exp3,3071_2257,angular,exp3,2.0,22,"[-0.094461, -0.198681, -0.613966, -0.649014, -0.51439, -0.297191, 0.364565, 0.093766, 0.243123, 0.594447, 0.195665, -0.239612, -0.535964, -0.75856, -0.806082, -0.366785, 0.114828, -0.128077, 0.055894, 0.341393, 0.038404, 0.100386]"
3071_2257__radial__exp3,3071_2257,radial,exp3,2.0,22,"[0.78047, 0.821265, 0.829007, 0.628049, 0.287705, 0.000704, -0.365623, 0.245498, 0.688987, 0.089926, -0.337703, 0.350418, 0.83342, 0.922539, 0.925265, 0.778519, 0.309228, -0.144532, -0.079781, 0.380601, 0.48715, 0.228012]"
3071_2257__angular__exp4,3071_2257,angular,exp4,2.0,22,"[-0.122241, -0.263212, -0.107997, 0.216959, 0.046204, -0.221778, -0.360126, -0.114628, 0.190951, 0.31087, 0.057147, -0.237415, -0.22711, 0.077042, 0.47982, 0.094292, -0.170627, -0.01141, -0.05359, 0.062497, 0.113323, -0.172333]"
3071_2257__radial__exp4,3071_2257,radial,exp4,2.0,22,"[null, null, null, null, null, null, null, null, 0.016465, 0.016465, null, null, null, null, null, null, null, 0.330306, 0.330306, null, null, null]"
3422_7920__angular__exp1,3422_7920,angular,exp1,2.0,22,"[-0.494976, -0.366378, -0.477031, -0.32263, -0.537696, -0.485607, 0.348256, 0.030262, -0.403325, -0.139404, 0.013407, -0.027033, 0.302014, 0.262249, -0.206796, -0.101665, 0.114932, -0.058896, 0.007604, 0.269015, 0.423027, 0.330468]"
3422_7920__radial__exp1,3422_7920,radial,exp1,2.0,22,"[-0.129967, 0.095285, -0.013102, -0.0, -0.0, 0.0, null, null, null, -0.150634, -0.170584, null, 0.541727, 0.829321, 0.517925, 0.554024, 0.109391, -0.138226, -0.033311, 0.183094, null, -0.320654]"
3422_7920__angular__exp2,3422_7920,angular,exp2,2.0,22,"[-0.830761, -0.840988, -0.892268, -0.844271, -0.798407, -0.704692, -0.778853, -0.903631, -0.491166, -0.466078, -0.735279, -0.302119, 0.283014, 0.238294, 0.028005, -0.055282, -0.657247, -0.638299, -0.645172, -0.624398, -0.038123, 0.050052]"
3422_7920__radial__exp2,3422_7920,radial,exp2,2.0,22,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 0.165808, 0.165808, null, null, null]"
