condition,dyad,behavioral_sync_s,ibi_corr,eda_corr,peak_amplitude,dwell_time,switching_rate,mean_synchrony,synchrony_entropy,bimodality_coefficient
sync_low_seg_high,29,0.5,0.1546,0.6986,0.7912,22.0,1.99,0.5025,4.173,0.587
sync_low_seg_high,30,0.2,0.0645,0.4407,0.4405,,0.0,0.2609,3.988,0.4652
sync_low_seg_high,31,0.3,0.0683,0.7294,0.534,,0.0,0.2962,4.009,0.7309
sync_low_seg_high,32,0.1,0.172,0.6851,0.3213,,0.0,0.1269,3.981,0.5421
sync_low_seg_high,33,0.2,0.0185,0.6022,0.4879,,0.0,0.1727,4.081,0.5247
sync_low_seg_high,34,0.3,0.1344,0.7181,0.4531,,0.0,0.2574,4.104,0.4521
sync_low_seg_high,35,0.3,0.1314,0.6285,0.524,,0.0,0.3188,4.067,0.5041
sync_low_seg_high,36,0.3,0.1808,0.4736,0.4924,,0.0,0.346,3.854,0.3756
sync_low_seg_high,37,0.5,0.12,0.5673,0.719,34.75,1.99,0.5548,3.848,0.5394
sync_low_seg_high,38,0.2,0.2788,0.6191,0.3846,,0.0,0.1443,4.061,0.4843
sync_low_seg_high,39,0.8,0.0897,0.7744,0.9611,90.5,0.0,0.7612,3.569,0.5063
sync_low_seg_high,40,0.3,0.2568,0.5201,0.5248,,0.0,0.2381,3.947,0.3977
sync_low_seg_high,41,0.7,0.2081,0.4358,0.9033,85.5,0.66,0.7815,3.49,0.6066
sync_low_seg_high,42,0.0,0.2203,0.7204,0.2585,,0.0,-0.0155,3.941,0.514
sync_low_seg_high,43,0.2,0.094,0.7205,0.3305,,0.0,0.1373,3.916,0.5354
sync_low_seg_high,44,0.4,0.1386,0.5737,0.7674,32.5,0.66,0.3538,3.677,0.7781
sync_low_seg_high,45,0.4,0.1217,0.6082,0.7527,16.0,1.33,0.3915,3.932,0.6085
sync_low_seg_low,0,1.0,0.0557,0.4387,0.9998,90.5,0.0,0.9889,2.116,0.9116
sync_low_seg_low,1,1.0,0.0284,0.6821,0.9984,90.5,0.0,0.9894,2.35,0.9272
sync_low_seg_low,2,1.0,0.0032,0.5973,0.9996,90.5,0.0,0.9995,4.101,0.4583
sync_low_seg_low,3,1.0,0.1197,0.5167,0.9994,90.5,0.0,0.9892,2.711,0.8593
sync_low_seg_low,4,1.0,0.0419,0.4068,0.9995,90.5,0.0,0.9994,4.119,0.4688
sync_low_seg_low,5,1.0,0.0985,0.5861,0.9991,90.5,0.0,0.9988,4.002,0.4839
sync_low_seg_low,6,1.0,0.2292,0.7224,0.9992,90.5,0.0,0.9989,3.961,0.3913
sync_low_seg_low,7,1.0,0.0706,0.6048,0.9986,90.5,0.0,0.9981,4.054,0.4226
sync_low_seg_low,8,1.0,0.2187,0.6788,0.9962,90.5,0.0,0.9908,1.638,0.9568
sync_low_seg_low,9,1.0,0.1878,0.6156,0.9955,90.5,0.0,0.9846,3.249,0.8286
sync_low_seg_low,10,1.0,0.0962,0.561,0.9986,90.5,0.0,0.9979,4.073,0.4288
sync_low_seg_low,11,1.0,0.0135,0.6915,0.9978,90.5,0.0,0.9968,4.11,0.5179
sync_low_seg_low,12,1.0,0.2222,0.4575,0.9979,90.5,0.0,0.9966,3.558,0.6557
sync_low_seg_low,13,1.0,0.0424,0.6331,0.9994,90.5,0.0,0.9991,4.207,0.5362
sync_low_seg_low,14,1.0,0.0592,0.5285,0.998,90.5,0.0,0.994,2.172,0.9645
sync_low_seg_low,15,1.0,0.0652,0.6456,0.9979,90.5,0.0,0.9901,1.989,0.9384
sync_low_seg_low,16,1.0,0.0798,0.6169,0.9985,90.5,0.0,0.9863,2.475,0.8764
sync_low_seg_low,17,1.0,0.2073,0.6396,0.9961,90.5,0.0,0.9952,3.963,0.4782
sync_low_seg_low,18,1.0,0.3523,0.5296,0.9981,90.5,0.0,0.9727,2.409,0.8761
sync_low_seg_low,19,1.0,0.005,0.6449,0.9983,90.5,0.0,0.9973,3.965,0.3797
sync_low_seg_low,20,1.0,0.1232,0.7202,0.9978,90.5,0.0,0.9971,3.899,0.3581
sync_low_seg_low,21,1.0,0.1297,0.5218,0.9966,90.5,0.0,0.9931,3.359,0.8707
sync_low_seg_low,22,1.0,0.0132,0.6571,0.999,90.5,0.0,0.9962,1.24,0.93
sync_low_seg_low,23,1.0,0.2108,0.6243,0.9989,90.5,0.0,0.9985,3.826,0.386
sync_low_seg_low,24,1.0,0.0726,0.5121,0.9988,90.5,0.0,0.9923,1.517,0.9566
sync_low_seg_low,25,1.0,0.1981,0.7781,0.9953,90.5,0.0,0.9871,2.629,0.9347
sync_low_seg_low,26,1.0,0.2212,0.6057,0.9983,90.5,0.0,0.9975,4.072,0.4817
sync_low_seg_low,27,1.0,0.0426,0.3944,0.9993,90.5,0.0,0.9965,1.923,0.9486
sync_low_seg_low,28,1.0,0.1715,0.6159,0.9977,90.5,0.0,0.9935,2.27,0.9135
sync_low_seg_low,29,1.0,0.0489,0.5613,0.9977,90.5,0.0,0.9901,2.943,0.8705
sync_low_seg_low,30,1.0,0.1529,0.5413,0.9989,90.5,0.0,0.9967,1.33,0.926
sync_low_seg_low,31,1.0,0.0679,0.7541,0.9966,90.5,0.0,0.9931,3.706,0.751
sync_low_seg_low,32,1.0,0.0856,0.7922,0.9991,90.5,0.0,0.9969,2.897,0.9248
sync_low_seg_low,33,1.0,0.0308,0.7619,0.998,90.5,0.0,0.9883,2.522,0.8885
sync_low_seg_low,34,1.0,0.2077,0.5277,0.9996,90.5,0.0,0.9937,1.847,0.9605
sync_low_seg_low,35,1.0,0.0973,0.6422,0.9992,90.5,0.0,0.9986,4.043,0.4002
sync_low_seg_low,36,1.0,0.1325,0.5685,0.995,90.5,0.0,0.9933,3.927,0.4932
sync_low_seg_low,37,1.0,0.0433,0.4926,0.9993,90.5,0.0,0.9986,0.831,0.9415
sync_low_seg_low,38,1.0,0.0994,0.4543,0.9998,90.5,0.0,0.9975,1.408,0.9587
sync_low_seg_low,39,1.0,0.2593,0.5323,0.9988,90.5,0.0,0.998,4.087,0.5194
sync_low_seg_low,40,1.0,0.1629,0.7493,0.9984,90.5,0.0,0.9977,3.981,0.4361
sync_low_seg_low,41,1.0,0.3292,0.4962,0.9985,90.5,0.0,0.9952,1.294,0.9583
sync_low_seg_low,42,1.0,0.1547,0.5556,0.999,90.5,0.0,0.9987,3.933,0.4402
sync_low_seg_low,43,1.0,0.1478,0.495,0.9999,90.5,0.0,0.9999,4.179,0.5252
sync_low_seg_low,44,1.0,0.134,0.6183,0.9963,90.5,0.0,0.988,3.306,0.8963
sync_low_seg_low,45,1.0,0.1069,0.6597,0.9985,90.5,0.0,0.9972,4.024,0.5393
