cell,seed,peak_amplitude,dwell_time,switching_rate,mean_synchrony,onset_latency,rise_time,recovery_time,synchrony_entropy,bimodality_coefficient,fraction_above_threshold,inter_peak_cv,first_peak_time,onset_latency_imputed,rise_time_imputed,recovery_time_imputed,onset_defined,rise_defined,recovery_defined
B_emergent_nostim,5015,0.8648742487060115,24.75,1.5498154981549817,0.35210276733769585,39.0,,12.0,4.094328060276228,0.5330963497352614,0.36531365313653136,1.562499256394826,52.0,39.0,30.0,12.0,1.0,0.0,1.0
B_emergent_nostim,5016,0.8609648923137792,19.2,1.992619926199262,0.3487545704731922,16.0,7.0,12.0,4.107056237497224,0.530576513565933,0.3726937269372694,1.5965678062358728,31.0,16.0,7.0,12.0,1.0,1.0,1.0
B_emergent_nostim,5017,0.8645580546091893,25.25,1.5498154981549817,0.36762080223690186,39.0,,10.0,4.069150543026592,0.537523500926135,0.3800738007380074,1.820845941091345,50.0,39.0,30.0,10.0,1.0,0.0,1.0
B_emergent_nostim,5018,0.8659451863749472,23.0,1.5498154981549817,0.3280559854191833,6.0,6.0,11.0,4.168124050564874,0.5333428027192204,0.34317343173431736,1.9484247289854926,14.0,6.0,6.0,11.0,1.0,1.0,1.0
B_emergent_nostim,5019,0.8691980469973696,22.5,1.5498154981549817,0.3227693860465785,8.0,5.0,12.0,4.145165689575966,0.519068710818653,0.33948339483394835,1.688139319173797,21.0,8.0,5.0,12.0,1.0,1.0,1.0
B_emergent_nostim,5020,0.8681337340789492,23.0,1.7712177121771218,0.3306633372213142,21.0,5.0,8.0,4.087755183524939,0.5209608354132792,0.35424354243542433,1.730358524988391,33.0,21.0,5.0,8.0,1.0,1.0,1.0
B_emergent_nostim,5021,0.8569140038652445,21.0,1.992619926199262,0.35866891347538965,34.0,,12.0,4.017485215363408,0.5430005932574336,0.3874538745387454,1.4143238661704074,47.0,34.0,30.0,12.0,1.0,0.0,1.0
B_emergent_nostim,5022,0.8585020604424219,28.0,1.3284132841328413,0.3854733457851863,38.0,,13.0,4.028954434116606,0.5478727605345162,0.39114391143911437,1.5130114578762268,54.0,38.0,30.0,13.0,1.0,0.0,1.0
B_emergent_nostim,5023,0.86830431736002,19.2,1.992619926199262,0.32820760578352776,25.0,34.0,9.0,4.047432101012989,0.5363349668434215,0.36162361623616235,1.5868914463969817,36.0,25.0,34.0,9.0,1.0,1.0,1.0
B_emergent_nostim,5024,0.8768385665931794,27.25,1.3284132841328413,0.37455328874263794,44.0,,11.0,4.06379343524586,0.5469437078729777,0.39114391143911437,1.8898779355651925,55.0,44.0,30.0,11.0,1.0,0.0,1.0
B_emergent_nostim,5025,0.8712770256067701,28.25,1.3284132841328413,0.3877476452613348,41.0,,14.0,4.091408443802622,0.5494350561081572,0.4132841328413284,1.5087372091145825,54.0,41.0,30.0,14.0,1.0,0.0,1.0
B_emergent_nostim,5026,0.863611818197527,20.0,1.992619926199262,0.3359445344540932,23.0,4.0,13.0,4.051817056772653,0.5461906887538467,0.3726937269372694,1.6227355223751863,35.0,23.0,4.0,13.0,1.0,1.0,1.0
B_emergent_nostim,5027,0.8485169637191707,20.4,1.992619926199262,0.3431742142006008,26.0,33.0,12.0,4.019259954752991,0.5572548938894476,0.36162361623616235,1.5529311768821767,36.0,26.0,33.0,12.0,1.0,1.0,1.0
B_emergent_nostim,5028,0.839442499510471,26.25,1.5498154981549817,0.3637669771549415,8.0,6.0,13.0,4.137396476043636,0.5525344328782726,0.3726937269372694,1.81675914289305,22.0,8.0,6.0,13.0,1.0,1.0,1.0
B_emergent_nostim,5029,0.8564811861327893,22.75,1.7712177121771218,0.32095142973869695,19.0,5.0,11.0,4.107443022928998,0.5164213897764472,0.3505535055350554,1.6044101297357087,32.0,19.0,5.0,11.0,1.0,1.0,1.0
