noise_ratio,coupling,seed,onset_threshold,n_surrogates,surrogate_method,obs_mean_synchrony,p_mean_synchrony,null_mean_mean_synchrony,null_sd_mean_synchrony,obs_peak_amplitude,p_peak_amplitude,null_mean_peak_amplitude,null_sd_peak_amplitude,obs_dwell_time,p_dwell_time,null_mean_dwell_time,null_sd_dwell_time,obs_switching_rate,p_switching_rate,null_mean_switching_rate,null_sd_switching_rate,obs_bimodality_coefficient,p_bimodality_coefficient,null_mean_bimodality_coefficient,null_sd_bimodality_coefficient,p_onset_defined,p_recovery_defined,obs_onset_defined,obs_recovery_defined
0.05,0.3,1024,0.5,99,prtf,0.15842142905995124,0.02,-0.01657718905463028,0.067332834631502,0.4155955914543827,0.37,0.3822778481135863,0.08952444538039085,,,,,0.0,1.0,0.0,0.0,0.46160504073728104,0.38,0.44222800789735894,0.06449791906536745,1.0,1.0,1.0,1.0
0.05,0.3,1025,0.5,99,prtf,0.13045380436949605,0.04,0.0003892764700991533,0.06964963208656831,0.4890434529232614,0.2,0.38686791619778177,0.10685077327156846,,,,,0.0,1.0,0.0,0.0,0.45259684564873104,0.49,0.45045976494399614,0.0685971978210682,1.0,1.0,1.0,1.0
0.05,0.3,1026,0.5,99,prtf,-0.013288007875914032,0.66,0.003275410386987044,0.05594690223499321,0.4521776654737153,0.23,0.3854442870634109,0.09329377107374438,,,,,0.0,1.0,0.0,0.0,0.32359027707635635,0.98,0.4538219921592338,0.07084116292058132,1.0,1.0,1.0,1.0
0.05,0.3,1027,0.5,99,prtf,0.1120468010608404,0.03,-0.0019819078683268854,0.058032234067537006,0.5323011662079661,0.11,0.4051027696106499,0.0940605224023402,3.0,1.0,2.984848484848485,1.4195603245905104,0.44280442804428044,1.0,0.29520295202952035,0.20980230619011492,0.5025752315660352,0.18,0.4451146046857316,0.06271331755686294,1.0,1.0,1.0,1.0
0.05,0.3,1028,0.5,99,prtf,0.14067563446303857,0.01,0.0041698097985889485,0.0702207078999264,0.4288941156739991,0.33,0.3902071855930105,0.09336180603896385,,,,,0.0,1.0,0.0,0.0,0.6112465036590299,0.01,0.4463028373952261,0.06829092025048678,1.0,1.0,1.0,1.0
0.05,0.3,1029,0.5,99,prtf,0.19082915907336329,0.02,0.015453276671576475,0.05717537282825173,0.5238755997485071,0.08,0.4098890526197155,0.08670064526890728,,,5.5,0.7071067811865476,0.0,1.0,0.008945544000894555,0.0626155478834948,0.5199377198328297,0.14,0.4361867828562455,0.07601241104220441,1.0,1.0,1.0,1.0
0.05,0.6,1000,0.5,99,prtf,0.42263937741236207,0.01,0.003160076850147487,0.14589598632197204,0.8709823048050657,0.01,0.5923501721480421,0.13746603011899228,50.5,0.02,19.363179413179413,3.6543896918615184,0.8856088560885609,0.02,2.2676954042267696,0.4209030309937851,0.4847474992293698,0.44,0.4763629515883271,0.06541821962876414,1.0,1.0,1.0,1.0
0.05,0.6,1001,0.5,99,prtf,0.513770771252093,0.01,-0.011617165023056495,0.1536440063935758,0.8830860746086955,0.01,0.5617087619508698,0.15609293966875068,45.0,0.02,20.7541165624499,3.569913304957326,1.1070110701107012,0.02,2.817846360281784,0.46357439236948805,0.5944697159328151,0.08,0.4706935417529425,0.06988009107542337,1.0,1.0,1.0,1.0
0.05,0.6,1002,0.5,99,prtf,0.4200317073115412,0.01,0.016712911242833972,0.10513507584516532,0.9189217673035586,0.01,0.6471969556083454,0.11242312569914543,18.0,0.96,18.659848484848485,4.692537558960383,2.2140221402214024,1.0,2.2430951582243095,0.4378590450523783,0.46056310504032866,0.64,0.4817038812736611,0.058612810246891536,1.0,1.0,1.0,1.0
0.05,0.6,1003,0.5,99,prtf,0.48680589999034135,0.01,-0.011188439216239734,0.19365629432323928,0.8213782104620727,0.02,0.5730449269192793,0.14969800822385335,38.5,0.18,27.662710437710434,8.088034105614598,1.7712177121771218,0.3,2.468970144246897,0.5054328285489132,0.625586667599323,0.03,0.4916985124354998,0.06459793894552594,1.0,1.0,1.0,1.0
0.05,0.6,1004,0.5,99,prtf,0.4533878422899936,0.01,0.0036718818060228957,0.13658947487493392,0.9036515090541993,0.01,0.6127341266882,0.12945250732025165,29.5,0.02,17.088708513708514,3.761985653665277,1.5498154981549817,0.02,2.9073018002907305,0.5672484405494359,0.493977914858518,0.5,0.48652427284135025,0.06364519037476334,1.0,1.0,1.0,1.0
0.05,0.6,1005,0.5,99,prtf,0.5392541713679379,0.01,0.005116182154584374,0.1231864735921375,0.8413481949205495,0.02,0.5691504397471893,0.12358031960750497,39.5,0.04,26.836387686387692,4.006334956763372,1.7712177121771218,0.2,2.399642178239964,0.35743032100508315,0.593345810987751,0.04,0.47144747956142696,0.06479081420540965,1.0,1.0,1.0,1.0
0.05,0.6,1006,0.5,99,prtf,0.5281064072884282,0.01,0.006095230564124288,0.13005653209542464,0.9119064500969063,0.01,0.5538826772338693,0.12467616062102056,51.0,0.08,30.70451739618406,7.487185851254843,1.3284132841328413,0.14,2.238622386223862,0.4908991766714945,0.4486318474228971,0.55,0.45868584813534674,0.0674880883122689,1.0,1.0,1.0,1.0
0.05,0.6,1007,0.5,99,prtf,0.5481310164678274,0.01,0.010385772785100866,0.1442766033409825,0.8922852934389535,0.01,0.6042185132880608,0.13308710179983813,53.333333333333336,0.56,43.6181216931217,14.576398970698929,1.3284132841328413,0.96,1.6034887621603493,0.488039896250887,0.5122530973522649,0.34,0.47978240765946367,0.06428200909122328,1.0,1.0,1.0,1.0
0.05,0.6,1008,0.5,99,prtf,0.47823867180904756,0.01,-0.015069008608409984,0.11434886995915503,0.9150528026156063,0.01,0.6016419056033663,0.1215603251177481,31.25,0.06,19.660890652557317,3.9210740946778193,1.5498154981549817,0.02,2.761936710276194,0.5361478374195636,0.5270819637806079,0.21,0.47746765900192467,0.05979459712505253,1.0,1.0,1.0,1.0
0.05,0.6,1009,0.5,99,prtf,0.4932190963239024,0.01,0.007748374167248328,0.11051300402595012,0.9294032998072994,0.01,0.5819347245112116,0.11611307308252705,25.8,0.4,21.73135321468655,4.782941991184812,2.2140221402214024,0.86,2.491334004249133,0.49541726752654675,0.43319223310878613,0.72,0.4718760475788306,0.06621475697146745,1.0,1.0,1.0,1.0
0.05,0.6,1010,0.5,99,prtf,0.5131438323572913,0.01,-0.0007341153021369658,0.14234525118015204,0.8941420144184922,0.01,0.5765690689850036,0.12637382852498077,29.4,0.46,25.94030784030784,5.76949127636184,1.992619926199262,0.5,2.395169406239517,0.527703737483963,0.4692812216597297,0.57,0.4843533023602079,0.06456626227071181,1.0,1.0,1.0,1.0
0.05,0.6,1011,0.5,99,prtf,0.5365687732479647,0.01,-0.01645246072488736,0.1220587369798612,0.9100961987499909,0.01,0.5706594274765922,0.13161954239515702,40.75,0.72,37.89011544011544,10.134354086048516,1.7712177121771218,1.0,1.75779939617578,0.39481440133866047,0.569772261017327,0.06,0.47143729047418176,0.06832992109805634,1.0,1.0,1.0,1.0
0.05,0.6,1012,0.5,99,prtf,0.5971322710019453,0.01,-0.014326424556798268,0.15482935583024954,0.8322275981667674,0.01,0.5848831607905884,0.14823485194327293,32.833333333333336,0.98,32.89548661215328,6.363641804423786,2.6568265682656826,0.96,2.4466062842446608,0.45437155359416725,0.5419366543439751,0.18,0.48244328595468716,0.06463918472406299,1.0,1.0,1.0,1.0
0.05,0.6,1013,0.5,99,prtf,0.49282734670813544,0.01,-0.002465501630408809,0.18925936530038534,0.8682035336266684,0.01,0.6066110933552109,0.15088877502479997,32.0,0.58,28.8501924001924,6.72628199561711,1.7712177121771218,1.0,1.8696186961869623,0.3876600170975274,0.5415445509425532,0.18,0.4822637989038024,0.0684197265515304,1.0,1.0,1.0,1.0
