id,true_shape,shape_above_ratio,shape_n_episodes,shape_n_peaks,shape_peak_asymmetry,shape_wcc_std,shape_wcc_range,shape_frac_negative,shape_autocorr_lag1,mean_synchrony,peak_amplitude,dwell_time,switching_rate,bimodality_coefficient,synchrony_entropy,onset_latency,rise_time,recovery_time
pce12__EDA__rest1,,0.019867549668874173,1.0,1.0,0.8888888888888888,0.20197185848507004,0.9627459999999999,0.2781456953642384,0.9619103393690909,0.09214076821192052,0.5973506666666666,4.0,0.794701986754967,0.3821880286876009,3.711173355617901,151.0,1.0,2.0
pce12__EDA__trials_concat,,0.15889628924833493,13.0,8.0,0.12857142857142856,0.3946931873684819,1.856245,0.4253092293054234,0.9877888748980341,0.087686973358706,0.9868149999999999,23.714285714285715,0.7992388201712655,0.3733911690967673,4.029736233740287,1051.0,209.0,33.0
pce12__RESP__rest1,,0.0,0.0,0.0,,0.2854433469057923,1.144113,0.7086092715231788,0.9851777240929923,-0.120651880794702,0.4126863333333333,,0.0,0.405030840044692,3.963758057481032,151.0,151.0,151.0
pce12__RESP__trials_concat,,0.003805899143672693,1.0,1.0,0.45,0.24287696291194472,1.3636840000000001,0.5156993339676499,0.9802086761234405,-0.021874763082778307,0.5490613333333333,2.0,0.11417697431018078,0.3681034668284575,3.7923089283053026,1051.0,1051.0,2.0
pce13__ECG__rest1,,0.0,0.0,0.0,,0.15484656617066123,0.664648,0.3708609271523179,0.9313282018311723,0.05146729801324504,0.362737,,0.0,0.4280183848910149,4.048400361285478,151.0,151.0,151.0
pce13__ECG__trials_concat,,0.25118934348239774,15.0,10.0,0.1388888888888889,0.398172310353667,1.7220460000000002,0.3872502378686965,0.9604445570201546,0.15320929400570885,0.888777,21.583333333333332,1.3701236917221695,0.49323410585447225,4.0764221164085575,1051.0,1051.0,27.0
pce13__EDA__rest1,,0.12582781456953643,2.0,2.0,2.3333333333333335,0.3531242384671429,1.362701,0.4105960264900662,0.9785175357804246,0.06165801986754966,0.7199413333333333,9.5,1.589403973509934,0.4757880407137295,3.6975601225992287,55.0,7.0,4.0
pce13__EDA__trials_concat,,0.5166508087535681,18.0,12.0,1.441860465116279,0.41372391941873127,1.658088,0.1874405328258801,0.9858922793491376,0.45632576688867743,0.9967833333333332,33.75,1.7126546146527117,0.5729479513431128,3.9467917912810635,485.0,42.0,33.0
pce13__RESP__rest1,,0.059602649006622516,1.0,2.0,0.95,0.23116541620375283,1.029172,0.33112582781456956,0.9795707567088302,0.09131814569536426,0.5915403333333333,8.0,0.794701986754967,0.3634509294629196,4.017512410578716,35.0,4.0,2.0
pce13__RESP__trials_concat,,0.06374881065651761,7.0,4.0,1.4545454545454546,0.4032602144537025,1.749568,0.5556612749762131,0.9925671420043559,-0.08318355375832541,0.807877,18.0,0.45670789724072314,0.4326188093905699,4.144371300036081,1051.0,5.0,14.0
pce14__ECG__rest1,,0.0,0.0,0.0,,0.16413676539690716,0.6834899999999999,0.5364238410596026,0.9173378855840658,0.023847165562913906,0.3128223333333333,,0.0,0.47221131466781163,4.03625850582623,151.0,151.0,151.0
pce14__ECG__trials_concat,,0.06945765937202664,8.0,6.0,1.6111111111111112,0.3342924813082279,1.625274,0.461465271170314,0.9720784113512326,0.0221301550903901,0.903986,17.5,0.45670789724072314,0.4027673115035669,3.9827484194548983,1051.0,14.0,2.0
pce14__EDA__rest1,,0.2781456953642384,1.0,5.0,1.619047619047619,0.4952129086929955,1.5656240000000001,0.5496688741721855,0.9931706973853999,0.038402682119205285,0.9062306666666665,41.0,0.794701986754967,0.7708739497951785,3.6351963669780383,37.0,16.0,8.0
pce14__EDA__trials_concat,,0.4224548049476689,20.0,14.0,0.8611111111111112,0.4284138642791304,1.9206349999999999,0.15889628924833493,0.9883927976730138,0.4083932816365367,0.994775,28.3125,1.8268315889628925,0.4328586012024521,3.7950759886618615,1051.0,87.0,29.0
pce14__RESP__rest1,,0.0,0.0,0.0,,0.24871421765198845,0.8604700000000001,0.4966887417218543,0.9764852678548623,-0.02410422516556292,0.317938,,0.0,0.6305756869821051,4.121770199165742,151.0,151.0,151.0
pce14__RESP__trials_concat,,0.023786869647954328,2.0,2.0,0.4098360655737705,0.25764674987307434,1.537575,0.48239771646051377,0.980137520283092,-0.005477083729781165,0.7729153333333333,23.0,0.11417697431018078,0.3304457391640683,3.7299221074402866,1051.0,3.0,10.0
pce15__ECG__rest1,,0.0,0.0,0.0,,0.12782862385060204,0.673603,0.2847682119205298,0.8791388931143121,0.06889122516556291,0.382791,,0.0,0.31559653164047213,3.8500242202800052,151.0,151.0,151.0
pce15__ECG__trials_concat,,0.022835394862036156,10.0,6.0,0.4918032786885246,0.2887306100643617,1.388596,0.461465271170314,0.9561783674034603,-0.0005330209324452901,0.6697446666666667,5.25,0.45670789724072314,0.4652856538662795,3.9635662086137504,1051.0,1051.0,3.0
pce15__EDA__rest1,,0.0,0.0,0.0,,0.20819189154202525,1.190642,0.2781456953642384,0.94547571806598,0.08090718543046357,0.4932403333333333,,0.0,0.28362836020728727,3.3679308603406866,151.0,151.0,151.0
pce15__EDA__trials_concat,,0.2768791627021884,11.0,9.0,0.2807017543859649,0.4621007525158627,1.8040790000000002,0.3758325404376784,0.990841781535626,0.20050045480494766,0.9823919999999999,27.454545454545453,1.2559467174119887,0.511293109961266,4.155070431289788,732.0,144.0,27.0
pce15__RESP__rest1,,0.033112582781456956,3.0,2.0,2.176470588235294,0.2968245120151365,1.089046,0.4304635761589404,0.9862265828385732,0.018238125827814585,0.5072653333333333,,0.0,0.4888616253009277,4.145109409089149,151.0,151.0,1.0
pce15__RESP__trials_concat,,0.047573739295908656,6.0,5.0,1.6,0.30112771547512435,1.507866,0.5585156993339676,0.986801073274974,-0.04091218744053282,0.7325806666666667,10.2,0.570884871550904,0.4115183210660437,4.003278862075385,1051.0,394.0,4.0
pce16__ECG__rest1,,0.15894039735099338,2.0,2.0,2.3043478260869565,0.4562417483020354,1.5192070000000002,0.5033112582781457,0.9924363843789816,-0.03335268874172182,0.7675076666666666,10.0,1.589403973509934,0.6088746806817065,4.112415956178115,104.0,39.0,8.0
pce16__ECG__trials_concat,,0.33111322549952427,19.0,12.0,0.7428571428571429,0.47983888651201373,1.830391,0.2978116079923882,0.9651852142309088,0.2095174938154139,0.9532729999999998,20.58823529411765,1.9410085632730734,0.5130075364141803,4.138221441943117,151.0,86.0,21.0
